 atom ion ishell  a       b     c       d     e
    1  1  1     13.6   22.8  -12.0    1.9  -22.6                        
    2  2  1     54.4   14.4   -5.6    1.9  -13.3                        
    6  6  1    490.0   12.2   -3.9    1.9  -10.3                        
    7  7  1    667.0   12.3   -4.0    1.9  -10.3                        
    8  8  1    871.0   12.3   -4.0    1.9  -10.3                        
   10 10  1   1362.0   12.5   -4.1    1.9  -10.4                        
   11 11  1   1649.0   12.5   -4.1    1.9  -10.4                        
   12 12  1   1963.0   12.6   -4.2    1.9  -10.4                        
   13 13  1   2304.0   12.6   -4.2    1.9  -10.4                        
   14 14  1   2673.0   12.7   -4.3    1.9  -10.4                        
   16 16  1   3493.0   12.8   -4.3    1.9  -10.5                        
   18 18  1   4426.0   12.8   -4.4    1.9  -10.5                        
   20 20  1   5470.0   12.9   -4.4    1.9  -10.5                        
   26 26  1   9278.0   13.0   -4.5    1.9  -10.6                        
   28 28  1  10790.0   13.0   -4.5    1.9  -10.6                        
    2  1  1     24.6   17.8  -11.0    7.0  -23.2                        
    6  5  1    392.0   20.4   -6.1    4.5  -18.0                        
    7  6  1    552.0   20.8   -6.3    4.4  -18.2                        
    8  7  1    739.0   21.2   -6.5    4.3  -18.4                        
   10  9  1   1196.0   21.9   -6.8    4.2  -18.7                        
   11 10  1   1465.0   22.2   -7.0    4.2  -18.8                        
   12 11  1   1762.0   22.4   -7.1    4.1  -18.9                        
   13 12  1   2086.0   22.7   -7.2    4.1  -19.0                        
   14 13  1   2438.0   22.9   -7.3    4.0  -19.1                        
   16 15  1   3224.0   23.3   -7.6    4.0  -19.3                        
   18 17  1   4121.0   23.7   -7.8    3.9  -19.5                        
   20 19  1   5129.0   24.0   -7.9    3.9  -19.6                        
   26 25  1   8828.0   24.8   -8.4    3.8  -20.0                        
   28 27  1  10299.0   23.27  -8.97   3.92 -19.55                        
    6  4  1     64.5    8.2   -2.7    1.4   -6.6                        
    6  4  2    343.0   20.0   -5.6    4.1  -18.0                        
    7  5  1     97.9   10.5   -3.3    1.4   -7.7                        
    7  5  2    493.0   20.5   -5.8    4.1  -18.0                        
    8  6  1    138.0   10.9   -3.19    1.4   -9.21                        
    8  6  2    670.0   20.8   -6.0    4.1  -18.0                        
   10  8  1    239.0   10.1   -3.1    1.4   -7.1                        
   10  8  2   1107.0   21.5   -6.4    4.1  -18.0                        
   11  9  1    300.0   10.0   -3.0    1.4   -6.9                        
   11  9  2   1366.0   21.7   -6.5    4.1  -18.0                        
   12 10  1    367.0   10.0   -3.0    1.4   -6.8                        
   12 10  2   1653.0   22.0   -6.7    4.1  -18.0                        
   13 11  1    442.0    9.9   -3.0    1.4   -6.7                        
   13 11  2   1967.0   22.2   -6.8    4.1  -18.0                        
   14 12  1    523.0    9.8   -2.9    1.4   -6.6                        
   14 12  2   2309.0   22.4   -6.9    4.1  -18.0                        
   16 14  1    707.0    9.7   -2.8    1.4   -6.4                        
   16 14  2   3075.0   22.8   -7.1    4.1  -18.0                        
   18 16  1    918.0    9.6   -2.8    1.4   -6.2                        
   18 16  2   3951.0   23.1   -7.3    4.1  -18.0                        
   20 18  1   1157.0    9.5   -2.7    1.4   -6.1                        
   20 18  2   4939.0   23.4   -7.4    4.1  -18.0                        
   26 24  1   2045.0    9.3   -2.6    1.4   -5.8                        
   26 24  2   8580.0   24.1   -7.9    4.1  -18.0                        
   28 26  1   2401.2    7.82  -2.13   1.48  -4.77                        
   28 26  2  10150.0   23.37  -9.12   4.02 -19.82                        
    6  3  1     47.9   23.2   -7.4    2.5  -19.4                        
    6  3  2    325.0   20.0   -5.6    4.1  -18.0                        
    7  4  1     77.5   17.6   -3.8    2.8  -13.6                        
    7  4  2    471.0   20.5   -5.8    4.1  -18.0                        
    8  5  1    114.0   16.4   -3.0    2.9  -12.0                        
    8  5  2    644.0   20.8   -6.0    4.1  -18.0                        
   10  7  1    207.0   16.5   -3.1    2.8  -11.4                        
   10  7  2   1073.0   21.5   -6.4    4.1  -18.0                        
   11  8  1    264.0   16.8   -3.4    2.8  -11.4                        
   11  8  2   1328.0   21.7   -6.5    4.1  -18.0                        
   12  9  1    328.0   17.1   -3.6    2.7  -11.5                        
   12  9  2   1611.0   22.0   -6.7    4.1  -18.0                        
   13 10  1    399.0   17.4   -3.8    2.7  -11.6                        
   13 10  2   1921.0   22.2   -6.8    4.1  -18.0                        
   14 11  1    476.0   17.7   -4.0    2.7  -11.7                        
   14 11  2   2259.0   22.4   -6.9    4.1  -18.0                        
   16 13  1    652.0   18.1   -4.4    2.7  -11.8                        
   16 13  2   3017.0   22.8   -7.1    4.1  -18.0                        
   18 15  1    855.0   18.4   -4.6    2.7  -12.0                        
   18 15  2   3885.0   23.1   -7.3    4.1  -18.0                        
   20 17  1   1087.0   18.6   -4.6    2.7  -12.1                        
   20 17  2   4865.0   23.4   -7.4    4.1  -18.0                        
   26 23  1   1950.0   19.2   -5.3    2.7  -12.3                        
   26 23  2   8482.0   24.1   -7.9    4.1  -18.0                        
   28 25  1   2290.9   15.46  -4.18   3.01 -9.52                        
   28 25  2   9914.0   24.3   -8.0    4.1  -18.0                        
    6  2  1     24.4   17.3   -9.0    2.5  -13.6                        
    6  2  2     30.9   23.7   -7.6    2.5  -21.7                        
    7  3  1     47.4   16.0   -7.5    2.3  -10.0                        
    7  3  2     55.8   18.1   -4.0    2.8  -15.8                        
    8  4  1     77.4   15.0   -5.0    2.2  -10.5                        
    8  4  2     87.6   16.8   -3.3    2.8  -14.1                        
   10  6  1    158.0   14.5   -4.6    1.9   -8.5                        
   10  6  2    172.0   16.9   -3.4    2.8  -13.2                        
