atom ion acol tcol arad xrad adi bdi t0 t1
 6  1    1.44e-10 1.31e+05 4.70e-13 6.24e-01 2.54e-03 4.42e-02 1.57e+05 3.74e+05
 6  2    4.20E-11 2.83E+05 2.30E-12 6.45E-01 6.15E-03 5.88E-02 1.41E+05 1.41E+05
 6  3    1.92E-11 5.56E+05 3.20E-12 7.70E-01 1.62E-03 3.43E-01 8.19E+04 1.59E+05
 6  4    5.32E-12 7.48E+05 7.50E-12 8.17E-01 4.78E-02 3.62E-01 3.44E+06 5.87E+05
 6  5    2.87e-13 4.55E+06 1.70e-11 7.21e-01 3.22e-02 3.15E-01 4.06E+06 8.31E+05
 6  6    9.16E-14 5.68e+06 3.30e-11 7.26e-01 0.00e-00 0.00e-00 0.00e-00 0.00e-00
 7  1    7.08E-11 1.68E+05 4.10E-13 6.08E-01 2.98E-03 0.00     2.20E+05 0.00
 7  2    4.55E-11 3.43E+05 2.20E-12 6.39E-01 7.41E-03 7.64E-02 2.01E+05 7.37E+04
 7  3    1.83E-11 5.50E+05 5.00E-12 6.76E-01 1.31E-02 1.64E-01 1.72E+05 2.25E+05
 7  4    7.16e-12 8.99E+05 6.50E-12 7.43E-01 2.62E-03 2.43E-01 1.02E+05 1.25E+05
 7  5    2.30e-12 1.14E+06 1.50E-11 8.50E-01 7.50e-02 3.50E-01 4.75e+06 8.35e+05
 7  6    1.44e-13 6.41e+06 2.90e-11 7.50e-01 4.61e-02 3.09e-01 5.44e+06 1.14e+06
 7  7    4.93e-14 7.74e+06 4.80e-11 7.26e-01 0.00e-00 0.00e-00 0.00e-00 0.00e-00
 8  1    1.09E-10 1.58E+05 3.10E-13 6.78E-01 1.11E-03 9.25E-02 1.75E+05 1.45E+05
 8  2    3.69E-11 4.07E+05 2.00E-12 6.46E-01 5.07E-03 1.81E-01 1.98E+05 3.35E+05
 8  3    1.67E-11 6.37E+05 5.10E-12 6.60E-01 1.48E-02 3.05E-01 2.41E+05 2.83E+05
 8  4    7.60E-12 8.98E+05 9.60E-12 6.70E-01 1.84E-02 1.00E-01 2.12E+05 2.83E+05
 8  5    3.33E-12 1.32E+06 1.20E-11 7.79E-01 4.13E-03 1.62E-01 1.25E+05 2.27E+05
 8  6    1.15e-12 1.60e+06 2.30E-11 8.02E-01 1.06E-01 3.40E-01 6.25E+06 1.12E+06
 8  7    7.90e-14 8.57e+06 4.10e-11 7.42e-01 6.23e-02 3.04E-01 7.01e+06 1.47E+06
 8  8    2.89e-14 1.01e+07 6.71e-11 7.26e-01 0.00e-00 0.00e-00 0.00e-00 0.00e-00
